kaxirí	kaxirí+N+SG
tamutawarí	mutawarí+V+3+PL
rekitika	kitika+V+2+SG
amandwari	mandwari+V+1+SG
yamupaka	mupaka+V+1+PL
taíra-itá	taíra+N+ABS+PL
pewiké	wiké+V+2+PL
uyupukwáu	yupukwáu+V+3
-pura	-pura+SUFF
anama	anama+N+SG
uwatá-watá	watá-watá+V+3
usapí	sapí+V+3
sapú-itá	sapú+N+ABS+PL
urupema	urupema+N+SG
reyumbué	yumbué+V+2+SG
renundé	renundé+ADP+CONT
upitá	pitá+V+3
apuamu	puamu+V+1+SG
tembiwa	tembiwa+N+ABS+SG
yerimũ-itá	yerimũ+N+PL
yaikú	ikú+V+1+PL
pemuakú	muakú+V+2+PL
pesaisú	saisú+V+2+PL
baniwa	baniwa+N+SG
tiní	tiní+A
peyumunhã	yumunhã+V+2+PL
sapukaya-itá	sapukaya+N+PL
peyumuruakí	yumuruakí+V+2+PL
tayusãi	yusãi+V+3+PL
a-	a-+PREF
nti	nti+ADV
pemaã	maã+V+2+PL
remandwari	mandwari+V+2+SG
pememũi	memũi+V+2+PL
mukũi	mukũi+NUM
amupuranga	mupuranga+V+1+SG
pemutianha	mutianha+V+2+PL
uyana	yana+V+3
reyaxiú	yaxiú+V+2+SG
yayeréu	yeréu+V+1+PL
taumururú	mururú+V+3+PL
rikusawa-itá	sikusawa+N+CONT+PL
taupawa	pawa+V+3+PL
peyuráu	yuráu+V+2+PL
tausikié	sikié+V+3+PL
kuximawara	kuximawara+N+SG
pausawa	pausawa+N+SG
kamundusara	kamundusara+N+SG
tĩsawa-itá	tĩsawa+N+PL
mbira	mbira+N+SG
pepiripana	piripana+V+2+PL
sawa	sawa+N+NCONT+SG
peruri	ruri+V+2+PL
amaramunhã	maramunhã+V+1+SG
yayaxiú	yaxiú+V+1+PL
tauyuruari	yuruari+V+3+PL
tatitika	titika+V+3+PL
yanomami-itá	yanomami+N+PL
simirikú	simirikú+N+ABS+SG
rangawa-itá	sangawa+N+CONT+PL
tukandira-itá	tukandira+N+PL
yawerá	werá+V+1+PL
iwisé	iwisé+N+SG
umupuranga	mupuranga+V+3
tauwerá	werá+V+3+PL
akayutiwa	akayutiwa+N+SG
yamurari	murari+V+1+PL
taumuputira	muputira+V+3+PL
yayusí	yusí+V+1+PL
ma	ma+CONJ
upuẽ	puẽ+V+3
saisusawa	saisusawa+N+SG
tapeyú	peyú+V+3+PL
tatú-itá	tatú+N+PL
kirimbawa	kirimbawa+N+SG
pewewé	wewé+V+2+PL
rukapí-itá	ukapí+N+CONT+PL
awasemu	wasemu+V+1+SG
yambué	mbué+V+1+PL
taumunuka	munuka+V+3+PL
irusanga	irusanga+A
murakimusapiri-itá	murakimusapiri+N+PL
paya-itá	paya+N+PL
asendú	sendú+V+1+SG
tausasemu	sasemu+V+3+PL
ramé	ramé+CONJ
repusí	tepusí+N+CONT+SG
ranha-itá	sanha+N+CONT+PL
repaka	paka+V+2+SG
pixana-itá	pixana+N+PL
eré	eré+ADV
yukisé	yukisé+N+SG
paá	paá+PART
yepesawa	yepesawa+NUM
puranga	puranga+ADV
ariré	ariré+ADV
tayumuyeréu	yumuyeréu+V+3+PL
sendira	tendira+N+NCONT+SG
ayamĩ	yamĩ+V+1+SG
kará	kará+N+SG
kwemaité	kwemaité+ADV
sumuara	sumuara+N+ABS+SG
ukamundú	kamundú+V+3
sembiwa-itá	tembiwa+N+NCONT+PL
tauyenũ	yenũ+V+3+PL
yapisirũ	pisirũ+V+1+PL
rapú	sapú+N+CONT+SG
tauikuntu	ikuntu+V+3+PL
repuíri	puíri+V+2+SG
kiínha	kiínha+N+SG
rekuyara-itá	sekuyara+N+CONT+PL
tayakáu	yakáu+V+3+PL
aé	aé+PRON
tauyawáu	yawáu+V+3+PL
remuáu	muáu+V+2+SG
tapekua	tapekua+N+SG
yasaisú	saisú+V+1+PL
umaité	maité+V+3
amana	amana+N+SG
remusaimbé	musaimbé+V+2+SG
taumutianha	mutianha+V+3+PL
yepé	yepé+PART
yukisé-itá	yukisé+N+PL
usupiri	supiri+V+3
taumutawarí	mutawarí+V+3+PL
asupiri	supiri+V+1+SG
sendawa	tendawa+N+NCONT+SG
waimĩ-itá	waimĩ+N+PL
yawapika	wapika+V+1+PL
awiké	wiké+V+1+SG
-me	-me+None
akupiri	kupiri+V+1+SG
taupurakari	purakari+V+3+PL
uyaxiú	yaxiú+V+3
yamuturusú	muturusú+V+1+PL
yapisika	pisika+V+1+PL
tausuú-suú	suú-suú+V+3+PL
umaãĩ	maãĩ+V+3
peparawaka	parawaka+V+2+PL
tamunhã	munhã+V+3+PL
munhangawa-itá	munhangawa+N+PL
rikwé	rikwé+A2+CONT
apiruka	piruka+V+1+SG
yamuruakí	muruakí+V+1+PL
tausaisú	saisú+V+3+PL
umunhã	munhã+V+3
taupurungitá	purungitá+V+3+PL
akiri	kiri+V+1+SG
rakakwera	rakakwera+ADP+CONT
meyú-itá	meyú+N+PL
pemuperewa	muperewa+V+2+PL
retana	retana+ADVS
igarapé	igarapé+N+SG
umundú	mundú+V+3
taganani	ganani+V+3+PL
sikiesawa	sikiesawa+N+SG
yasemu	semu+V+1+PL
taumayana	mayana+V+3+PL
asasá	sasá+V+1+SG
ararapewa	ararapewa+N+SG
supapáu-itá	supapáu+N+PL
tauyutima	yutima+V+3+PL
memũitawa-itá	memũitawa+N+PL
wirawasú	wirawasú+N+SG
rapé	pé+N+CONT+SG
taití-itá	taití+N+ABS+PL
mirá	mirá+N+SG
pirera	pirera+N+SG
sakurana	sakurana+A
petuká	tuká+V+2+PL
perikú	rikú+V+2+PL
kaawara-itá	kaawara+N+PL
tasepiasumeẽ	sepiasumeẽ+V+3+PL
tayutima	yutima+V+3+PL
kumandamirĩ	kumandamirĩ+N+SG
peyumũ	yumũ+V+2+PL
umbué	mbué+V+3
tamusasá	musasá+V+3+PL
ayumunani	yumunani+V+1+SG
tauikú	ikú+V+3+PL
darapí	darapí+N+SG
kitika	kitika+A
amuáu	muáu+V+1+SG
puxirungara	puxirungara+N+SG
putira-itá	putira+N+PL
manikwera	manikwera+N+SG
siía	siía+QUANT
resepiasumeẽ	sepiasumeẽ+V+2+SG
remeẽ	meẽ+V+2+SG
supiá	supiá+N+NCONT+SG
amuyaxiú	muyaxiú+V+1+SG
pepitá	pitá+V+2+PL
será	será+PART
kawera-itá	kawera+N+PL
yapuna	yapuna+N+SG
ayatikú	yatikú+V+1+SG
wirpe	wirpe+ADP
tamururú	mururú+V+3+PL
repurasí	purasí+V+2+SG
taumupipika	mupipika+V+3+PL
tauganani	ganani+V+3+PL
yamutiní	mutiní+V+1+PL
makaxera	makaxera+N+SG
puirundisawa	puirundisawa+NUM
mbuesawa	mbuesawa+N+SG
tambeú	mbeú+V+3+PL
pindá-itá	pindá+N+PL
pemuyana	muyana+V+2+PL
piri	piri+ADP
yapupeka	pupeka+V+1+PL
nhuntu	nhuntu+ADV
seẽ	seẽ+N+SG
sepiasuíma	sepiasuíma+A
saínha-itá	taínha+N+NCONT+PL
yayumuapatuka	yumuapatuka+V+1+PL
pinimatawa	pinimatawa+N+SG
tapereiwá	tapereiwá+N+SG
yakumã-itá	yakumã+N+PL
atirika	tirika+V+1+SG
reyamĩ	yamĩ+V+2+SG
bũa	bũa+QUANT
rembirari	mbirari+V+2+SG
repuri	puri+V+2+SG
asú	sú+V+1+SG
rewiyé	wiyé+V+2+SG
taupupeka	pupeka+V+3+PL
akangatara	akangatara+N+SG
apaka	paka+V+1+SG
upurakari	purakari+V+3
amuéu	muéu+V+1+SG
sangawa	sangawa+N+ABS+SG
ruaxara	suaxara+N+CONT+SG
tamaramunhã	maramunhã+V+3+PL
pikasú-itá	pikasú+N+PL
taínha-itá	taínha+N+ABS+PL
upuká	puká+V+3
tiputí-itá	tiputí+N+ABS+PL
uã	uã+PART
tetama-itá	tetama+N+ABS+PL
taumupuruã	mupuruã+V+3+PL
sakanga-itá	sakanga+N+ABS+PL
buya-itá	buya+N+PL
tayumunhã	yumunhã+V+3+PL
pewatá-watá	watá-watá+V+2+PL
tauyeréu	yeréu+V+3+PL
pesarú	sarú+V+2+PL
ukupiri	kupiri+V+3
yamusakú	musakú+V+1+PL
pepiruka	piruka+V+2+PL
pesikié	sikié+V+2+PL
peyutuká	yutuká+V+2+PL
yayuka	yuka+V+1+PL
umbirari	mbirari+V+3
yuíri	yuíri+ADV
pirasua	pirasua+A
umutianha	mutianha+V+3
pewerá	werá+V+2+PL
murakipí-itá	murakipí+N+PL
sakua-itá	takua+N+NCONT+PL
nheengatú-itá	nheengatú+N+PL
purangasawa	purangasawa+N+SG
awatá-watá	watá-watá+V+1+SG
tawasemu	wasemu+V+3+PL
kawarú-itá	kawarú+N+PL
renheẽ	nheẽ+V+2+SG
upupuka	pupuka+V+3
resenũi	senũi+V+2+SG
tausemu	semu+V+3+PL
wirá-itá	wirá+N+PL
rurisawa	surisawa+N+CONT+SG
awatí	awatí+N+SG
wiramirĩ-itá	wiramirĩ+N+PL
tipiaka-itá	tipiaka+N+PL
pepú-itá	pepú+N+PL
kuya-itá	kuya+N+PL
rukapí	ukapí+N+CONT+SG
taumaãĩ	maãĩ+V+3+PL
xibuí	xibuí+N+SG
pe	pe+PRON2
iwaka-itá	iwaka+N+PL
supitá	supitá+N+ABS+SG
tayawáu	yawáu+V+3+PL
pesuú	suú+V+2+PL
yayakáu	yakáu+V+1+PL
taupisirũ	pisirũ+V+3+PL
kurumĩwasú	kurumĩwasú+N+SG
yamaxí	yamaxí+N+SG
tauyumuapatuka	yumuapatuka+V+3+PL
árupi	árupi+ADP
yurá-itá	yurá+N+PL
manha-itá	manha+N+PL
yamupinima	mupinima+V+1+PL
kitikasara-itá	kitikasara+N+PL
uyusãi	yusãi+V+3
awá	awá+INDF
makira	makira+N+SG
penharú	nharú+V+2+PL
reyusikié	yusikié+V+2+SG
yanheẽ	nheẽ+V+1+PL
kupé	kupé+N+SG
sendawa-itá	tendawa+N+NCONT+PL
taxari	xari+V+3+PL
yaxiusawa-itá	yaxiusawa+N+PL
sukapí-itá	ukapí+N+NCONT+PL
mirá-itá	mirá+N+PL
remundá	mundá+V+2+SG
pemuputira	muputira+V+2+PL
tauwasemu	wasemu+V+3+PL
tayumuatiri	yumuatiri+V+3+PL
peyumusé	yumusé+V+2+PL
ayutuká	yutuká+V+1+SG
pira	pira+N+SG
timaã	timaã+ADV
tukana	tukana+N+SG
purangasawa-itá	purangasawa+N+PL
samunha	tamunha+N+NCONT+SG
umuruakí	muruakí+V+3
taumpuranga	mpuranga+V+3+PL
yatuká	tuká+V+1+PL
sakusawa	sakusawa+N+ABS+SG
rembeú	mbeú+V+2+SG
umuturusú	muturusú+V+3
retimã-itá	setimã+N+CONT+PL
aíwa	aíwa+A
apuká	puká+V+1+SG
yamuáu	muáu+V+1+PL
resú	sú+V+2+SG
umuyana	muyana+V+3
-íma	-íma+SUFF
tamundú	mundú+V+3+PL
iwakawara	iwakawara+N+SG
tamaãĩ	maãĩ+V+3+PL
rememũi	memũi+V+2+SG
tamuatá-itá	tamuatá+N+PL
taumungitá	mungitá+V+3+PL
pemutipawa	mutipawa+V+2+PL
putiá	putiá+N+SG
ne maã	ne maã+INDF
yameẽ	meẽ+V+1+PL
setimã-itá	setimã+N+ABS+PL
sikusawa-itá	sikusawa+N+NCONT+PL
yukwakusawa-itá	yukwakusawa+N+PL
membeka	membeka+N+SG
pemayana	mayana+V+2+PL
tapixawa-itá	tapixawa+N+ABS+PL
yepeawa-itá	yepeawa+N+PL
aruyari	ruyari+V+1+SG
yasenũi	senũi+V+1+PL
arawara	arawara+N+SG
tamupawa	mupawa+V+3+PL
arasú	rasú+V+1+SG
asikari	sikari+V+1+SG
yautí-itá	yautí+N+PL
uikuntu	ikuntu+V+3
tapiaka	tapiaka+N+SG
waruá-itá	waruá+N+PL
íra	íra+N+SG
repupeka	pupeka+V+2+SG
suaxara	suaxara+N+NCONT+SG
kaapura	kaapura+A
iwaté	iwaté+N+SG
timbiú	timbiú+N+SG
aintá	aintá+PRON
remundú	mundú+V+2+SG
umupawa	mupawa+V+3
tayeréu	yeréu+V+3+PL
suriwara	suriwara+A
taité!	taité!+INTJ
u	u+CONJ
tauyatikú	yatikú+V+3+PL
irirú-itá	irirú+N+PL
kaawara	kaawara+A
ne awá	ne awá+INDF
unheengari	nheengari+V+3
remunhã	munhã+V+2+SG
simirikú-putawa-itá	simirikú-putawa+N+ABS+PL
umayana	mayana+V+3
resarái	resarái+V2+CONT
rerikú	rikú+V+2+SG
taumuperewa	muperewa+V+3+PL
tapereiwá-itá	tapereiwá+N+PL
resuaxara	suaxara+V+2+SG
uka-pupekasara	uka-pupekasara+N+SG
pakuatiwa-itá	pakuatiwa+N+PL
tasupiri	supiri+V+3+PL
ukunheseri	kunheseri+V+3
yawarí	yawarí+N+SG
sikwesawa-itá	sikwesawa+N+NCONT+PL
rumitera-itá	sumitera+N+CONT+PL
yaxari	xari+V+1+PL
musapirisawa	musapirisawa+NUM
arara-itá	arara+N+PL
yamuyana	muyana+V+1+PL
yasepiasumeẽ	sepiasumeẽ+V+1+PL
reyumuapatuka	yumuapatuka+V+2+SG
yamaité	maité+V+1+PL
pisasú	pisasú+A
takamundú	kamundú+V+3+PL
amukwekatú	mukwekatú+V+1+SG
usendú	sendú+V+3
Yuruparí	Yuruparí+N+SG
yawiké	wiké+V+1+PL
surisawa	surisawa+N+NCONT+SG
rikwesawa-itá	sikwesawa+N+CONT+PL
ratá	tatá+N+CONT+SG
tauyapukúi	yapukúi+V+3+PL
peyumuyeréu	yumuyeréu+V+2+PL
tukandira	tukandira+N+SG
apupeka	pupeka+V+1+SG
umbaá	umbaá+ADV
tamupinima	mupinima+V+3+PL
akayú	akayú+N+SG
remuakú	muakú+V+2+SG
akanga	akanga+N+SG
umuáu	muáu+V+3
pemusaka	musaka+V+2+PL
paya	paya+N+SG
gantĩ	gantĩ+N+SG
yamanũ	manũ+V+1+PL
yayururéu	yururéu+V+1+PL
pá	pá+INDF
pesuú-suú	suú-suú+V+2+PL
kupuasú	kupuasú+N+SG
ayakáu	yakáu+V+1+SG
rupítá	supitá+N+CONT+SG
ururi	ruri+V+3
riré	riré+ADP
pembeú	mbeú+V+2+PL
yamuakú	muakú+V+1+PL
kaá-itá	kaá+N+PL
amayana	mayana+V+1+SG
tayumuruakí	yumuruakí+V+3+PL
rikwé	sikwé+N+CONT+SG
pemaité	maité+V+2+PL
ruá-itá	suá+N+CONT+PL
ayuri	yuri+V+1+SG
yurú	yurú+N+SG
reyumana	yumana+V+2+SG
igarité	igarité+N+SG
kweré	kweré+A2
murakí-itá	murakí+N+PL
sakanga-itá	sakanga+N+NCONT+PL
pemukameẽ	mukameẽ+V+2+PL
uyumaã	yumaã+V+3
tayupukwari	yupukwari+V+3+PL
-í	-í+SUFF
kwá	kwá+ADV
mupinimasara	mupinimasara+N+SG
taumbué	mbué+V+3+PL
rewitá	witá+V+2+SG
umuéu	muéu+V+3
wirawasú-itá	wirawasú+N+PL
yapiripana	piripana+V+1+PL
tamusakú	musakú+V+3+PL
tanaseri	naseri+V+3+PL
kuité	kuité+CONJ
urupema-itá	urupema+N+PL
renharú	nharú+V+2+SG
maã	maã+INDF
kamutí	kamutí+N+SG
amusaimbé	musaimbé+V+1+SG
yapurakari	purakari+V+1+PL
tauxari	xari+V+3+PL
tampuranga	mpuranga+V+3+PL
renheengari	nheengari+V+2+SG
apupuka	pupuka+V+1+SG
riputí	tiputí+N+CONT+SG
turusú	turusú+A
paranãwasú-itá	paranãwasú+N+PL
tuyuka-itá	tuyuka+N+PL
reyatikú	yatikú+V+2+SG
peyawáu	yawáu+V+2+PL
rekwáu	kwáu+V+2+SG
yayumaã	yumaã+V+1+PL
sesarái	resarái+V2+NCONT
amundeka	mundeka+V+1+SG
aikwé	aikwé+V
reseréu	seréu+V+2+SG
rakua-itá	takua+N+CONT+PL
ayururéu	yururéu+V+1+SG
yarikú	rikú+V+1+PL
yayupukwáu	yupukwáu+V+1+PL
taumukameẽ	mukameẽ+V+3+PL
repitá	pitá+V+2+SG
kakurí-itá	kakurí+N+PL
sikusawa	sikusawa+N+NCONT+SG
yapitá	pitá+V+1+PL
kirá	kirá+A2
igara	igara+N+SG
maãsiyara	maãsiyara+A
taputari	putari+V+3+PL
utitika	titika+V+3
memũitendawa	memũitendawa+N+SG
pemumurã	mumurã+V+2+PL
tipití-itá	tipití+N+PL
tayumuapatuka	yumuapatuka+V+3+PL
rekarãi	karãi+V+2+SG
yamusurí	musurí+V+1+PL
tauyumeẽ	yumeẽ+V+3+PL
amungitá	mungitá+V+1+SG
upisika	pisika+V+3
pemurari	murari+V+2+PL
arawara-itá	arawara+N+PL
mirĩ	mirĩ+ADV
taumupitá	mupitá+V+3+PL
mitima-itá	mitima+N+PL
resuú	suú+V+2+SG
tayumaã	yumaã+V+3+PL
remuyeréu	muyeréu+V+2+SG
pekamundú	kamundú+V+2+PL
kwá	kwá+DEM
amutawarí	mutawarí+V+1+SG
sepusí	tepusí+N+NCONT+SG
pukú	pukú+A2
pesenũi	senũi+V+2+PL
rembué	mbué+V+2+SG
uyeréu	yeréu+V+3
sanha	sanha+N+ABS+SG
maramunhangara-itá	maramunhangara+N+PL
sasisawa	sasisawa+N+SG
tayupukwáu	yupukwáu+V+3+PL
darapí-itá	darapí+N+PL
reikú	ikú+V+2+SG
supí	supí+ADV
umusaimbé	musaimbé+V+3
remukameẽ	mukameẽ+V+2+SG
pewiyé	wiyé+V+2+PL
mamé	mamé+ADVR
sawa	sawa+N+ABS+SG
murakipí	murakipí+N+SG
takua-itá	takua+N+ABS+PL
nití	nití+ADV
kaapura-itá	kaapura+N+PL
reyumeẽ	yumeẽ+V+2+SG
peyupukwáu	yupukwáu+V+2+PL
ambirari	mbirari+V+1+SG
axari	xari+V+1+SG
rimirikú-itá	simirikú+N+CONT+PL
sasiara	sasiara+A
yawewé	wewé+V+1+PL
nti awá	nti awá+INDF
taumandwari	mandwari+V+3+PL
tauparawaka	parawaka+V+3+PL
tapiripana	piripana+V+3+PL
pexari	xari+V+2+PL
