saurú	saurú+N+SG
saurú-itá	saurú+N+PL
sawa	sawa+N+ABS+SG
sawa-itá	sawa+N+ABS+PL
rawa	sawa+N+CONT+SG
rawa-itá	sawa+N+CONT+PL
sawa)	sawa+N+NCONT+SG
sawa)-itá	sawa+N+NCONT+PL
seẽ	seẽ+N+SG
seẽ-itá	seẽ+N+PL
sekuyara	sekuyara+N+ABS+SG
sekuyara-itá	sekuyara+N+ABS+PL
rekuyara	sekuyara+N+CONT+SG
rekuyara-itá	sekuyara+N+CONT+PL
sekuyara)	sekuyara+N+NCONT+SG
sekuyara)-itá	sekuyara+N+NCONT+PL
sekuyaramirĩ	sekuyaramirĩ+N+ABS+SG
sekuyaramirĩ-itá	sekuyaramirĩ+N+ABS+PL
r	sekuyaramirĩ+N+CONT+SG
r-itá	sekuyaramirĩ+N+CONT+PL
s)	sekuyaramirĩ+N+NCONT+SG
s)-itá	sekuyaramirĩ+N+NCONT+PL
sepí	sepí+N+SG
sepí-itá	sepí+N+PL
sera	sera+N+ABS+SG
sera-itá	sera+N+ABS+PL
rera	sera+N+CONT+SG
rera-itá	sera+N+CONT+PL
sera)	sera+N+NCONT+SG
sera)-itá	sera+N+NCONT+PL
sesá	sesá+N+ABS+SG
sesá-itá	sesá+N+ABS+PL
resá	sesá+N+CONT+SG
resá-itá	sesá+N+CONT+PL
sesá)	sesá+N+NCONT+SG
sesá)-itá	sesá+N+NCONT+PL
sesayukisé	sesayukisé+N+ABS+SG
sesayukisé-itá	sesayukisé+N+ABS+PL
resayukisé	sesayukisé+N+CONT+SG
resayukisé-itá	sesayukisé+N+CONT+PL
sesayukisé)	sesayukisé+N+NCONT+SG
sesayukisé)-itá	sesayukisé+N+NCONT+PL
setimã	setimã+N+ABS+SG
setimã-itá	setimã+N+ABS+PL
retimã	setimã+N+CONT+SG
retimã-itá	setimã+N+CONT+PL
setimã)	setimã+N+NCONT+SG
setimã)-itá	setimã+N+NCONT+PL
sikiesawa	sikiesawa+N+SG
sikiesawa-itá	sikiesawa+N+PL
sikwesawa	sikwesawa+N+ABS+SG
sikwesawa-itá	sikwesawa+N+ABS+PL
rikwesawa	sikwesawa+N+CONT+SG
rikwesawa-itá	sikwesawa+N+CONT+PL
sikwesawa)	sikwesawa+N+NCONT+SG
sikwesawa)-itá	sikwesawa+N+NCONT+PL
simirikú	simirikú+N+ABS+SG
simirikú-itá	simirikú+N+ABS+PL
rimirikú	simirikú+N+CONT+SG
rimirikú-itá	simirikú+N+CONT+PL
simirikú)	simirikú+N+NCONT+SG
simirikú)-itá	simirikú+N+NCONT+PL
simirikú-putawa	simirikú-putawa+N+ABS+SG
simirikú-putawa-itá	simirikú-putawa+N+ABS+PL
r	simirikú-putawa+N+CONT+SG
r-itá	simirikú-putawa+N+CONT+PL
s)	simirikú-putawa+N+NCONT+SG
s)-itá	simirikú-putawa+N+NCONT+PL
suá	suá+N+ABS+SG
suá-itá	suá+N+ABS+PL
ruá	suá+N+CONT+SG
ruá-itá	suá+N+CONT+PL
suá)	suá+N+NCONT+SG
suá)-itá	suá+N+NCONT+PL
suasú	suasú+N+SG
suasú-itá	suasú+N+PL
suaxara	suaxara+N+ABS+SG
suaxara-itá	suaxara+N+ABS+PL
ruaxara	suaxara+N+CONT+SG
ruaxara-itá	suaxara+N+CONT+PL
suaxara)	suaxara+N+NCONT+SG
suaxara)-itá	suaxara+N+NCONT+PL
suaya	suaya+N+ABS+SG
suaya-itá	suaya+N+ABS+PL
ruaya	suaya+N+CONT+SG
ruaya-itá	suaya+N+CONT+PL
suaya)	suaya+N+NCONT+SG
suaya)-itá	suaya+N+NCONT+PL
sukwera	sukwera+N+ABS+SG
sukwera-itá	sukwera+N+ABS+PL
rukwera	sukwera+N+CONT+SG
rukwera-itá	sukwera+N+CONT+PL
sukwera)	sukwera+N+NCONT+SG
sukwera)-itá	sukwera+N+NCONT+PL
